"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-05-09";"  1h21m22.5s";"+03°43'34""";"-6.4";"1751.8";"0.06";"  5h42m";" 12h05m";" 18h34m";"+353°53'";"-55°34'"
"2021-05-10";"  2h04m25.2s";"+08°39'00""";"-2.7";"1747.3";"0.02";"  6h10m";" 12h46m";" 19h29m";"+339°50'";"-48°44'"
"2021-05-11";"  2h48m26.8s";"+13°14'08""";"0.0";"1746.5";"0.00";"  6h40m";" 13h29m";" 20h23m";"+329°23'";"-40°42'"
"2021-05-12";"  3h34m04.4s";"+17°18'57""";"0.0";"1749.2";"0.00";"  7h14m";" 14h13m";" 21h19m";"+321°11'";"-31°59'"
"2021-05-13";"  4h21m43.5s";"+20°42'52""";"-1.7";"1755.3";"0.02";"  7h51m";" 15h00m";" 22h14m";"+314°20'";"-22°53'"
"2021-05-14";"  5h11m33.2s";"+23°15'16""";"-5.4";"1764.8";"0.05";"  8h33m";" 15h50m";" 23h09m";"+308°12'";"-13°33'"
"2021-05-15";"  6h03m21.5s";"+24°46'14""";"-7.3";"1777.9";"0.10";"  9h21m";" 16h41m";"      ";"+302°21'";"-04°05'"
"2021-05-16";"  6h56m35.4s";"+25°07'56""";"-8.1";"1794.8";"0.17";" 10h13m";" 17h32m";"  0h01m";"+296°25'";"+04°56'"
"2021-05-17";"  7h50m27.9s";"+24°15'53""";"-8.6";"1815.7";"0.25";" 11h10m";" 18h24m";"  0h49m";"+290°02'";"+14°19'"
"2021-05-18";"  8h44m11.6s";"+22°09'37""";"-9.2";"1840.6";"0.34";" 12h09m";" 19h15m";"  1h34m";"+282°47'";"+23°40'"
"2021-05-19";"  9h37m13.5s";"+18°52'46""";"-9.7";"1869.1";"0.44";" 13h10m";" 20h04m";"  2h14m";"+274°00'";"+32°47'"
